            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2453749.500000000, A.D. 2006-Jan-14 00:00:00.0000, -6.623864342625856E+08, -4.720798825985794E+08,  1.678212378484887E+07,  7.427089806175155E+00, -1.003425043299828E+01, -1.245282257645841E-01,  2.713778841492574E+03,  8.135704293594509E+08, -2.270554689785328E-01,
2453750.500000000, A.D. 2006-Jan-15 00:00:00.0000, -6.617441794776173E+08, -4.729463466969578E+08,  1.677135056563127E+07,  7.439427442732505E+00, -1.002399594876759E+01, -1.249027526106894E-01,  2.713713323884910E+03,  8.135507876748073E+08, -2.265136193609820E-01,
2453751.500000000, A.D. 2006-Jan-16 00:00:00.0000, -6.611007184098821E+08, -4.738120775666380E+08,  1.676054138160080E+07,  7.455799760211006E+00, -1.001471299467969E+01, -1.252576568109003E-01,  2.713647877992650E+03,  8.135311674899005E+08, -2.286845312482535E-01,
2453752.500000000, A.D. 2006-Jan-17 00:00:00.0000, -6.604559644207169E+08, -4.746768649958712E+08,  1.674970459802118E+07,  7.469310722116349E+00, -1.000445055029260E+01, -1.256236964644502E-01,  2.713581862377587E+03,  8.135113765063946E+08, -2.290979063143701E-01,
2453753.500000000, A.D. 2006-Jan-18 00:00:00.0000, -6.598099282225773E+08, -4.755407535936935E+08,  1.673883861390364E+07,  7.484180362061532E+00, -9.992154870317799E+00, -1.258879351245707E-01,  2.713515393076058E+03,  8.134914495111074E+08, -2.317994471652204E-01,
2453754.500000000, A.D. 2006-Jan-19 00:00:00.0000, -6.591628089379324E+08, -4.764036676509317E+08,  1.672794390365627E+07,  7.496602867257256E+00, -9.983405138697643E+00, -1.263130313883045E-01,  2.713448861039405E+03,  8.134715037083035E+08, -2.304492981026668E-01,
2453755.500000000, A.D. 2006-Jan-20 00:00:00.0000, -6.585144607290218E+08, -4.772657468974106E+08,  1.671701734029421E+07,  7.510324870122621E+00, -9.972065905535491E+00, -1.266323149653470E-01,  2.713382143984921E+03,  8.134515024385494E+08, -2.316658869928292E-01,
2453756.500000000, A.D. 2006-Jan-21 00:00:00.0000, -6.578649968675628E+08, -4.781269863098592E+08,  1.670605692008361E+07,  7.524628156170820E+00, -9.963578389320274E+00, -1.270480619458341E-01,  2.713315538439628E+03,  8.134315345984095E+08, -2.316805218138514E-01,
2453757.500000000, A.D. 2006-Jan-22 00:00:00.0000, -6.572142951347295E+08, -4.789873425781428E+08,  1.669506628588411E+07,  7.537147268883687E+00, -9.953089934802884E+00, -1.274125410753486E-01,  2.713248630217414E+03,  8.134114760180117E+08, -2.314252966702525E-01,
2453758.500000000, A.D. 2006-Jan-23 00:00:00.0000, -6.565624110422293E+08, -4.798469711406835E+08,  1.668403906909043E+07,  7.553415002982143E+00, -9.944456563364673E+00, -1.277931413338536E-01,  2.713181874764082E+03,  8.133914632365723E+08, -2.331019179844832E-01,
